code_type,code_version,codes,Description,bill_type,cancer_type,cancer,net,newly_identified
DIAG,ICD9,0088,"Intestinal infection due to other organism, not elsewhere classified",1.0,,N,,
DIAG,ICD9,009,Ill-defined intestinal infections,0.0,,N,,
DIAG,ICD9,0090,"Infectious colitis, enteritis, and gastroenteritis",1.0,,N,,
DIAG,ICD9,0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",1.0,,N,,
DIAG,ICD9,0092,Infectious diarrhea,1.0,,N,,
DIAG,ICD9,0093,Diarrhea of presumed infectious origin,1.0,,N,,
DIAG,ICD9,010,Primary tuberculous infection,0.0,,N,,
DIAG,ICD9,0100,Primary tuberculous complex,0.0,,N,,
DIAG,ICD9,01000,"Primary tuberculous infection, unspecified",1.0,,N,,
DIAG,ICD9,01001,"Primary tuberculous infection, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0101,Tuberculous pleurisy in primary progressive tuberculosis,0.0,,N,,
DIAG,ICD9,01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",1.0,,N,,
DIAG,ICD9,01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0108,Other primary progressive tuberculosis,0.0,,N,,
DIAG,ICD9,01080,"Other primary progressive tuberculosis, unspecified",1.0,,N,,
DIAG,ICD9,01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0109,Primary tuberculous infection unspecified type,0.0,,N,,
DIAG,ICD9,01090,"Primary tuberculous infection, unspecified, unspecified",1.0,,N,,
DIAG,ICD9,01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,011,Pulmonary tuberculosis,0.0,,N,,
